Week,RMSE
2012-12-31/2013-01-06,39.38394731227378
2013-01-07/2013-01-13,55.02701677081176
2013-01-14/2013-01-20,27.710337539623094
2013-01-21/2013-01-27,28.192613986569913
2013-01-28/2013-02-03,26.178715490920613
2013-02-04/2013-02-10,36.11977769061519
2013-02-11/2013-02-17,32.24236294589904
2013-02-18/2013-02-24,39.52251755581997
2013-02-25/2013-03-03,24.29491364720753
2013-03-04/2013-03-10,42.44884428249579
2013-03-11/2013-03-17,27.075485817196604
2013-03-18/2013-03-24,33.96455230963895
2013-03-25/2013-03-31,52.08248063820772
2013-04-01/2013-04-07,28.11521410184477
2013-04-08/2013-04-14,35.69732701665602
2013-04-15/2013-04-21,32.77167155862569
2013-04-22/2013-04-28,28.135868489218996
2013-04-29/2013-05-05,45.32983531685492
2013-05-06/2013-05-12,28.75151312678592
2013-05-13/2013-05-19,32.25148197295144
2013-05-20/2013-05-26,30.80689693462591
2013-05-27/2013-06-02,42.42740809336861
2013-06-03/2013-06-09,32.66093611084719
2013-06-10/2013-06-16,31.40437779401979
2013-06-17/2013-06-23,31.629726542428408
2013-06-24/2013-06-30,26.817289274275673
2013-07-01/2013-07-07,40.02125501725872
2013-07-08/2013-07-14,24.285094888141085
2013-07-15/2013-07-21,48.19617473214631
2013-07-22/2013-07-28,27.781530874224295
2013-07-29/2013-08-04,51.3497116575168
2013-08-05/2013-08-11,27.549683029814783
2013-08-12/2013-08-18,41.368785630393575
2013-08-19/2013-08-25,28.193736189485907
2013-08-26/2013-09-01,32.93336815195188
2013-09-02/2013-09-08,23.61888678750176
2013-09-09/2013-09-15,45.75706015732464
2013-09-16/2013-09-22,25.000453735364793
2013-09-23/2013-09-29,28.54816461300179
2013-09-30/2013-10-06,26.036262460340286
2013-10-07/2013-10-13,41.10026023850711
2013-10-14/2013-10-20,25.698361864852075
2013-10-21/2013-10-27,29.978115113865435
2013-10-28/2013-11-03,26.73593128400117
2013-11-04/2013-11-10,35.42838720772016
2013-11-11/2013-11-17,24.440185149280556
2013-11-18/2013-11-24,33.09838319299629
2013-11-25/2013-12-01,29.255118453995518
2013-12-02/2013-12-08,84.88894461757344
2013-12-09/2013-12-15,30.0183860369968
2013-12-16/2013-12-22,200.83488665527983
2013-12-23/2013-12-29,120.66840919185233
2013-12-30/2014-01-05,94.46923256364545
2014-01-06/2014-01-12,61.857560930045814
2014-01-13/2014-01-19,51.40514970863252
2014-01-20/2014-01-26,39.79088168429576
2014-01-27/2014-02-02,25.87401847969225
2014-02-03/2014-02-09,52.99062730016829
2014-02-10/2014-02-16,25.557473246173
2014-02-17/2014-02-23,32.932167819078934
2014-02-24/2014-03-02,27.92356909497688
2014-03-03/2014-03-09,47.03600349957033
2014-03-10/2014-03-16,23.98760353309649
2014-03-17/2014-03-23,32.66225297619208
2014-03-24/2014-03-30,23.527220702130094
2014-03-31/2014-04-06,80.47176416616321
2014-04-07/2014-04-13,24.013112987329777
2014-04-14/2014-04-20,59.48892020556393
2014-04-21/2014-04-27,30.281394479607638
2014-04-28/2014-05-04,45.71747779525525
2014-05-05/2014-05-11,38.71715259755015
2014-05-12/2014-05-18,33.88059283885604
2014-05-19/2014-05-25,35.68541673192987
2014-05-26/2014-06-01,30.218289092771197
2014-06-02/2014-06-08,41.07070595791083
2014-06-09/2014-06-15,27.390987392273576
2014-06-16/2014-06-22,44.860569578513676
2014-06-23/2014-06-29,31.655567008934096
2014-06-30/2014-07-06,134.62074502863967
2014-07-07/2014-07-13,29.578324500881052
2014-07-14/2014-07-20,35.64157971254473
2014-07-21/2014-07-27,28.84197977444401
2014-07-28/2014-08-03,34.08381504252443
2014-08-04/2014-08-10,35.58788414325627
2014-08-11/2014-08-17,28.82240334231452
2014-08-18/2014-08-24,46.898925026442775
2014-08-25/2014-08-31,31.604872720901476
2014-09-01/2014-09-07,53.89909637276659
2014-09-08/2014-09-14,28.188862390870398
2014-09-15/2014-09-21,30.62474275761341
2014-09-22/2014-09-28,24.41318751617081
2014-09-29/2014-10-05,50.11008166599485
2014-10-06/2014-10-12,38.78737410983762
2014-10-13/2014-10-19,26.927049445976895
2014-10-20/2014-10-26,29.932283293372006
2014-10-27/2014-11-02,27.299886929706034
2014-11-03/2014-11-09,54.170850991113674
2014-11-10/2014-11-16,29.596845630958022
2014-11-17/2014-11-23,26.96000554666726
2014-11-24/2014-11-30,41.996129671854185
2014-12-01/2014-12-07,54.0741109054192
2014-12-08/2014-12-14,31.545614264305488
2014-12-15/2014-12-21,116.7898936314103
2014-12-22/2014-12-28,98.62471052021439
2014-12-29/2015-01-04,137.03379961451733
2015-01-05/2015-01-11,61.44517927521977
2015-01-12/2015-01-18,37.223111159660995
2015-01-19/2015-01-25,30.936919142157983
2015-01-26/2015-02-01,29.884469765866854
2015-02-02/2015-02-08,33.81537560526649
2015-02-09/2015-02-15,28.668600783933
2015-02-16/2015-02-22,32.27331095556744
2015-02-23/2015-03-01,25.563392804779813
2015-03-02/2015-03-08,32.78829976153733
2015-03-09/2015-03-15,22.8317393407892
2015-03-16/2015-03-22,33.170616780684014
2015-03-23/2015-03-29,28.08208912123758
2015-03-30/2015-04-05,95.94770446494348
2015-04-06/2015-04-12,30.33983445669432
2015-04-13/2015-04-19,33.90603313919424
2015-04-20/2015-04-26,33.682402939692004
2015-04-27/2015-05-03,44.57222183675472
2015-05-04/2015-05-10,36.51088320570721
2015-05-11/2015-05-17,29.999903516135536
2015-05-18/2015-05-24,36.49889304799089
2015-05-25/2015-05-31,31.518991864190397
2015-06-01/2015-06-07,51.99556631694895
2015-06-08/2015-06-14,31.23727704038104
2015-06-15/2015-06-21,45.140713884483056
2015-06-22/2015-06-28,37.49762326854996
2015-06-29/2015-07-05,74.84582427788877
2015-07-06/2015-07-12,31.78304968467852
2015-07-13/2015-07-19,34.67813188133451
2015-07-20/2015-07-26,33.32303139067061
2015-07-27/2015-08-02,38.57095451186593
